date,title_de,title_fr,url
18.11.2026 & 19.11.2026, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-301717
15.06.2026, OPENGIS.ch: Workshop QField in Lausanne (Französisch), OPENGIS.ch: Workshop QField a Lausanne (Français), https://www.opengis.ch/courses-calendar/
26.05. & 02.06.2026, OPENGIS.ch: QGIS Advanced in Zürich (Deutsch), OPENGIS.ch: QGIS Cours avancé à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
20.05.2026, OPENGIS.ch: QField Workshop in Zürich (Deutsch), OPENGIS.ch: Workshop QField à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
11.05. & 18.05.2026, OPENGIS.ch: QGIS Advanced in Lausanne (Französisch), OPENGIS.ch: QGIS Cours avancé à Lausanne (Français), https://www.opengis.ch/courses-calendar/
05.05. & 12.05.2026, OPENGIS.ch: QGIS Basic in Zürich (Deutsch), OPENGIS.ch: QGIS Cours de base à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
27.04. & 04.05.2026, OPENGIS.ch: QGIS Basic in Lausanne (Französisch), OPENGIS.ch: QGIS Cours de base à Lausanne (Français), https://www.opengis.ch/courses-calendar/
30.03.2026, OPENGIS.ch: Kurs ModelBaker in Lausanne (Französisch), OPENGIS.ch: Course ModelBaker à Lausanne (Français), https://www.opengis.ch/courses-calendar/
18.03.2026, OPENGIS.ch: INTERLIS Webinar ONLINE (Französisch), OPENGIS.ch: INTERLIS Webinar ONLINE (Français), https://www.opengis.ch/courses-calendar/
13.03.2026, OPENGIS.ch: Kurs ModelBaker in Zürich (Deutsch), OPENGIS.ch: Course ModelBaker à Zürich (Allemand), https://www.opengis.ch/courses-calendar/
06.03.2026, OPENGIS.ch: INTERLIS Webinar ONLINE (Deutsch), OPENGIS.ch: INTERLIS Webinar ONLINE (Allemand), https://www.opengis.ch/courses-calendar/
04.03.2026 & 05.03.2026, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-301716
10.12.2025, OPENGIS.ch: QGIS Modellierung in Zürich, OPENGIS.ch: Le modeleur QGIS à Zurich, https://www.opengis.ch/courses-calendar/
24.11.2025, OPENGIS.ch: QGIS Modellierung in Lausanne, OPENGIS.ch: Le modeleur QGIS à Lausanne, https://www.opengis.ch/courses-calendar/
20.11.2025 & 27.11.2025, OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich, OPENGIS.ch: QGIS Cours avancé à Zurich, https://www.opengis.ch/courses-calendar/
10.11.2025 & 17.11.2025, OPENGIS.ch: QGIS Kurs Fortgeschrittene in Lausanne, OPENGIS.ch: QGIS Cours avancé à Lausanne, https://www.opengis.ch/courses-calendar/
04.11.2025 & 11.11.2025, OPENGIS.ch: QGIS Kurs Einsteiger in  Zürich, OPENGIS.ch: QGIS Cours de base à Zurich, https://www.opengis.ch/courses-calendar/
27.10.2025 & 03.11.2025, OPENGIS.ch: QGIS Kurs Einsteiger in Lausanne, OPENGIS.ch: QGIS Cours de base à Lausanne, https://www.opengis.ch/courses-calendar/
22.10.2025 & 23.10.2025, Universität Basel: Einführung in QGIS, Universität Basel: Einführung in QGIS, https://advancedstudies.unibas.ch/studienangebot/kurs/einfuehrung-in-geographische-informationssysteme-mit-qgis-300819
23.09.2025, Kanton BL: QField, Canton BL: QField, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t638
16.09.2025, Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t697
11.09.2025, Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t696
28.-30.08.2025, BFH-HAFL: QGIS Grundlagenkurs (3-tägig),BFH-HAFL: QGIS cours de base (3 jours),https://www.bfh.ch/de/weiterbildung/fachkurse/qgis-grundlagen/
12.06.2025, Kanton BL: QField, Canton BL: QField, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t638
05.06.2025, Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t697
04.06.2025 & 11.06.2025,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,https://www.opengis.ch/courses-calendar/
27.05.2025, Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t696
19.05.2025 & 26.05.2025,OPENGIS.ch: QGIS Cours avancé à Lausanne,OPENGIS.ch: QGIS Cours avancé à Lausanne,https://www.opengis.ch/courses-calendar/
14.05.2025 & 21.05.2025,OPENGIS.ch: QGIS Kurs Einsteiger in  Zürich,OPENGIS.ch: QGIS Kurs Einsteiger in  Zürich,https://www.opengis.ch/courses-calendar/
05.05.2025 & 12.05.2025,OPENGIS.ch: QGIS Cours de base à Lausanne,OPENGIS.ch: QGIS Cours de base à Lausanne,https://www.opengis.ch/courses-calendar/
08.04.2025,OPENGIS.ch: Workshop QField à Lausanne,OPENGIS.ch: Workshop QField à Lausanne,https://www.opengis.ch/courses-calendar/
26.03.2025,OPENGIS.ch: QField Workshop in Zürich,OPENGIS.ch: QField Workshop in Zürich,https://www.opengis.ch/courses-calendar/
25.03.2025,OPENGIS.ch: Course Modelbaker à Lausanne,OPENGIS.ch: Course Modelbaker à Lausanne,https://www.opengis.ch/courses-calendar/
14.03.2025,OPENGIS.ch: Kurs Modelbaker in Zürich,OPENGIS.ch: Kurs Modelbaker in Zürich,https://www.opengis.ch/courses-calendar/
12.03.2025, OPENGIS.ch: INTERLIS Webinar ONLINE,OPENGIS.ch: INTERLIS Webinar ONLINE,https://www.opengis.ch/courses-calendar/
14.03.2025,OPENGIS.ch: Kurs Modelbaker in Zürich,OPENGIS.ch: Kurs Modelbaker in Zürich,https://www.opengis.ch/courses-calendar/
06.03.2025,	OPENGIS.ch: INTERLIS Webinar ONLINE,	OPENGIS.ch: INTERLIS Webinar ONLINE,	https://www.opengis.ch/courses-calendar/	
25.02.2025, Kanton BL: QField, Canton BL: QField, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t638
18.02.2025, Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t697
13.02.2025, Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base, https://kanton.baselland.ch/finanz-und-kirchendirektion/personalamt-seminarangebot/t696
27.11.2024,OPENGIS.ch: QField Workshop in Zürich,OPENGIS.ch: QField Workshop in Zürich,https://www.opengis.ch/courses-calendar/
19.11.2024,OPENGIS.ch: Workshop QField à Lausanne,OPENGIS.ch: Workshop QField à Lausanne,https://www.opengis.ch/courses-calendar/
13.11.2024 & 20.11.2024,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Bern,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Bern,https://www.opengis.ch/courses-calendar/
30.10.2024 & 06.11.2024,OPENGIS.ch: QGIS Kurs Einsteiger in Bern,OPENGIS.ch: QGIS Kurs Einsteiger in Bern,https://www.opengis.ch/courses-calendar/
22.10.2024 & 29.10.2024,OPENGIS.ch: QGIS Cours avancé à Lausanne,OPENGIS.ch: QGIS Cours avancé à Lausanne,https://www.opengis.ch/courses-calendar/
01.10.2024 & 15.10.2024,OPENGIS.ch: QGIS Cours de base à Lausanne,OPENGIS.ch: QGIS Cours de base à Lausanne,https://www.opengis.ch/courses-calendar/
24.09.2024 & 25.09.2024,OST: Kurs PostGIS Einführung I,OST: Kurs PostGIS Einführung I,https://giswiki.hsr.ch/Kurs_PostGIS_Einf%C3%BChrung_I
19.09.2024,Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-model-baker
05.09.2024,Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-grundschulung
23.08.2024 & 24.08.2024 & 30.08.2024,BFH-HAFL: QGIS Grundlagenkurs (3-tägig),BFH-HAFL: QGIS Grundlagenkurs (3-tägig),https://www.bfh.ch/de/weiterbildung/fachkurse/qgis-grundlagen/
05.06.2024 & 12.06.2024,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,https://www.opengis.ch/courses-calendar/
22.05.2024 & 29.05.2024,OPENGIS.ch: QGIS Kurs Einsteiger in Zürich,OPENGIS.ch: QGIS Kurs Einsteiger in Zürich,https://www.opengis.ch/courses-calendar/
14.05.2024,Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-grundschulung
23.04.2024,Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-model-baker
14.03.2024,OPENGIS.ch: Modelbaker Kurs,OPENGIS.ch: Cours Modelbaker,https://www.opengis.ch/courses-calendar/
11.03.2024,ETH Zürich: Weiterbildungsmodul GIS: Geodatenmanagement mit PostgreSQL und PostGIS,"ETH Zürich, Weiterbildungsmodul GIS: Geodatenmanagement mit PostgreSQL und PostGIS",https://ikg.ethz.ch/cas-ris/module.html
07.03.2024,"OPENGIS.ch: INTERLIS Webinar, Online","OPENGIS.ch: INTERLIS Webinar, en-ligne",https://www.opengis.ch/courses-calendar/
15.02.2024,OST: Kurs QGIS Fortgeschrittene,OST: Kurs QGIS Fortgeschrittene,https://giswiki.hsr.ch/Kurs_QGIS_Fortgeschrittene
01.02.2024 & 02.02.2024,OST: Kurs QGIS Einführung I,OST: Kurs QGIS Einführung I,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
24.01.2024 & 31.01.2024,OPENGIS.ch: Cours QGIS avancé à Lausanne,OPENGIS.ch: Cours QGIS avancé à Lausanne,https://www.opengis.ch/courses-calendar/
10.01.2024,OPENGIS.ch: Cours QGIS de base à Lausanne,OPENGIS.ch: Cours QGIS de base à Lausanne,https://www.opengis.ch/courses-calendar/
22.11.2023,Drittes INTERLIS Anwender Treffen,3e rencontre des utilisateurs INTERLIS,https://interlis.discourse.group/t/3-interlis-anwender-innen-treffen/151
15.11.2023,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
14.11.2023,Journée romande de la Geoinformation 2023,Journée romande de la Geoinformation 2023,https://georomandie.com/
14.11.2022,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
15.11.2020,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
